,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.9991397773954567,0.9605494455801453,0.8266666666666667,0.6326530612244898,0.7167630057803468,0.722775199466093
Decision Tree,0.999403110845827,0.8094677023876516,0.8902439024390244,0.7448979591836735,0.8111111111111111,0.8140470722034927
kNN,0.9995435553526912,0.9437426067782205,0.9186046511627907,0.8061224489795918,0.8586956521739131,0.860305467810002
Naive Bayes,0.9764053228468101,0.963247971529636,0.058781869688385266,0.8469387755102041,0.10993377483443709,0.21951864557276174
Random Forest,0.9995962220427653,0.9649751501613588,0.9411764705882353,0.8163265306122449,0.8743169398907104,0.8763368354437778
